fiscal_year,Customer,SubCustomer,CanadaSector,obligatedAmount,numberOfActions,NumberOfContracts
2012,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",49003.9300,5,5
2012,Other Agencies,Commerce,Other R&D and Knowledge Based,559180.2700,53,51
2012,Other Agencies,Commerce,"Weapons, Ammunition and Missiles",0.0000,1,1
2012,Other Agencies,EPA,Other R&D and Knowledge Based,787649.8000,31,34
2012,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",15707335.4600,394,385
2012,Other Agencies,Labor,"Other Facilities, Construction, Manufacturing and Testing",57401.6400,2,2
2012,Other Agencies,MERIT SYSTEMS PROTECTION BOARD,C4ISR,23627.3100,1,1
2012,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",29918.1700,3,1
2012,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,0.0000,1,1
2012,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",590104.3000,58,45
2013,Defense,Army,Other Products,862657.9913,37,30
2013,Defense,DLA,Other Products,46296917.0771,662,673
2013,Defense,Navy,Other R&D and Knowledge Based,3933159.0567,29,24
2013,Defense,Navy,"Weapons, Ammunition and Missiles",2668449.7079,11,12
2013,DHS,COAST GUARD,Other Services,149261.4000,18,7
2013,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",67758.9800,9,8
2013,GSA,GSA,Other Services,17688.0000,2,4
2013,HHS,HHS,NULL,912774.0000,4,3
2013,HHS,HHS,Other R&D and Knowledge Based,67092013.6800,50,39
2013,Other Agencies,Commerce,Air,854626.0600,11,5
2011,Other Agencies,Transportation,Other Services,806039.2600,3,3
2011,Other Agencies,Treasury,Land,39859.3600,5,3
2011,State and IAP,State,Other R&D and Knowledge Based,2902466.9500,58,50
2011,State and IAP,State,Other Services,602868.7000,39,30
2012,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",4021449.6200,141,114
2012,Defense,Navy,Sea,6553342.6600,109,72
2012,Defense,Navy,Space,70915.7200,3,3
2012,DHS,CBP,Other Products,16253.8900,3,3
2012,DHS,COAST GUARD,Other Products,659356.7900,34,30
2012,DHS,COAST GUARD,Other R&D and Knowledge Based,209006.4600,7,5
2012,DHS,FEMA,Other Services,0.0000,1,1
2012,DHS,ICE,C4ISR,294284.2300,10,10
2012,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",6936.3000,3,3
2012,DHS,OPO,C4ISR,45274.2000,7,7
2012,DHS,Other DHS,"Weapons, Ammunition and Missiles",112630.6000,3,2
2012,NASA,NASA,Land,11280.0000,1,1
2012,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",2695541.0400,104,96
2012,Other Agencies,Commerce,NULL,-25.0000,1,1
2012,Other Agencies,Exec Office,"Other Facilities, Construction, Manufacturing and Testing",-447.6500,1,1
2012,Other Agencies,Interior,Land,83743.4700,4,4
2012,Other Agencies,Justice,C4ISR,3587132.2500,70,70
2012,Other Agencies,Justice,"Weapons, Ammunition and Missiles",4098.0000,2,1
2012,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",7500.0000,1,1
2012,Other Agencies,Treasury,Land,11952.6500,1,1
2012,State and IAP,State,Other Services,563918.6700,57,48
2012,State and IAP,USAID,Other R&D and Knowledge Based,74108.0000,1,1
2013,Defense,Air Force,Other Services,219928.0000,12,3
2013,Defense,Navy,Air,24124590.6426,187,128
2013,Defense,Navy,Sea,33285928.9609,126,84
2013,Defense,Other DoD,Other R&D and Knowledge Based,1113499.0099,18,12
2013,DHS,COAST GUARD,Other R&D and Knowledge Based,5649.6300,2,2
2013,DHS,Other DHS,"Weapons, Ammunition and Missiles",162256.2900,4,4
2013,NASA,NASA,Air,31930.0000,2,2
2013,NASA,NASA,Land,16659.7500,2,2
2013,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",4340322.6200,114,103
2013,Other Agencies,All other Customers,C4ISR,111795.2000,9,7
2013,Other Agencies,All other Customers,"Other Facilities, Construction, Manufacturing and Testing",152847.4500,9,8
2013,Other Agencies,Commerce,Land,9331.6900,2,2
2013,Other Agencies,Interior,NULL,-2108.0000,2,1
2013,Other Agencies,Interior,Land,69425.1300,10,8
2013,Other Agencies,Justice,"Weapons, Ammunition and Missiles",48370.0000,1,1
2013,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other R&D and Knowledge Based,52974.0000,3,1
2013,Other Agencies,Transportation,C4ISR,7802380.1100,28,23
2013,Other Agencies,Treasury,Other Products,3607927.1100,38,37
2013,Other Agencies,VA,Other Products,16271729.4500,184,178
2013,State and IAP,USAID,Other R&D and Knowledge Based,268375.0000,6,6
2012,DHS,COAST GUARD,Other Services,110803.1600,13,5
2012,DHS,ICE,Other R&D and Knowledge Based,0.0000,1,1
2012,DHS,OPO,Other R&D and Knowledge Based,84450.0000,1,1
2012,DHS,Other DHS,Other R&D and Knowledge Based,38694.2700,9,10
2012,Energy,Energy,C4ISR,820637.5300,28,24
2012,Other Agencies,Agriculture,Sea,7994.0000,1,1
2012,Other Agencies,Commerce,C4ISR,2143826.7700,81,70
2012,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",6380.4000,1,1
2012,Other Agencies,Education,C4ISR,76367.6100,3,3
2012,Other Agencies,EPA,C4ISR,118906.0500,13,11
2012,Other Agencies,Interior,C4ISR,11451771.8700,169,127
2012,Other Agencies,Interior,Other Services,315895.0000,13,11
2012,Other Agencies,Justice,Other Products,736548.3400,43,30
2012,Other Agencies,NATIONAL LABOR RELATIONS BOARD,C4ISR,8291.8600,1,1
2012,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,57660.0000,2,2
2012,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",32045.0000,6,5
2012,Other Agencies,Transportation,Land,0.0000,1,1
2012,Other Agencies,Transportation,Other Products,2100.0000,1,1
2012,Other Agencies,Transportation,Sea,91106.1400,5,3
2012,Other Agencies,VA,C4ISR,287957.7700,21,19
2012,Other Agencies,VA,Other Services,14605.4000,6,5
2012,State and IAP,State,Other Products,612226.1300,70,58
2012,State and IAP,State,Sea,4991031.5000,2,2
2012,State and IAP,USAID,C4ISR,17406.0000,1,1
2012,State and IAP,USAID,Other Services,5000000.0000,2,2
2013,Defense,Air Force,Land,81164.0000,2,2
2013,Defense,Air Force,Other R&D and Knowledge Based,2679598.3398,14,6
2013,Defense,Army,Sea,540765.3701,8,4
2013,Defense,DLA,Sea,2354278.7711,128,108
2013,Defense,Other DoD,Air,91500573.1716,73,45
2013,Defense,Other DoD,Other Products,294541.7900,10,10
2013,Defense,Other DoD,Sea,707938.4180,3,3
2013,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",228764.0200,9,8
2013,GSA,GSA,"Other Facilities, Construction, Manufacturing and Testing",5207255.5830,386,432
2013,HHS,HHS,C4ISR,1095082.6600,38,36
2013,HHS,HHS,Other Services,7648970.0800,16,16
2013,NASA,NASA,Other R&D and Knowledge Based,149171.2400,10,10
2013,NASA,NASA,Other Services,77929.0000,3,2
2013,Other Agencies,NULL,C4ISR,220542.0000,1,1
2013,Other Agencies,Archives,C4ISR,21900.0000,2,2
2013,Other Agencies,Archives,"Other Facilities, Construction, Manufacturing and Testing",27450.0000,1,1
2013,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",3173786.1000,66,61
2013,Other Agencies,Comptroller,C4ISR,0.0000,1,1
2013,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",181429.8800,17,15
2013,Other Agencies,Interior,"Weapons, Ammunition and Missiles",540.0000,2,2
2013,Other Agencies,Justice,Land,73560.0000,5,5
2013,Other Agencies,Justice,Other R&D and Knowledge Based,2995778.0200,13,11
2011,State and IAP,State,Other Products,2606984.5300,97,86
2012,Defense,Air Force,Land,22851.0500,2,2
2012,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",26082526.6400,1115,149
2012,Defense,Army,Sea,610428.8700,6,4
2012,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",39097301.6300,150,133
2012,Defense,DLA,Sea,1939062.7000,73,65
2012,Defense,MilitaryHealth,Other Products,16199.7500,2,1
2012,Defense,Other DoD,Air,100773913.3300,37,20
2012,DHS,CBP,C4ISR,249667.1700,12,9
2012,DHS,CBP,"Other Facilities, Construction, Manufacturing and Testing",113190.7500,12,11
2012,DHS,CBP,Other Services,12821.2800,3,2
2012,DHS,Other DHS,Other Products,50888.0000,1,1
2012,NASA,NASA,Other R&D and Knowledge Based,121300.8400,10,7
2012,NASA,NASA,Other Services,143112.8200,10,4
2012,Other Agencies,NULL,C4ISR,355503.2600,2,1
2012,Other Agencies,Archives,C4ISR,30632.8500,3,3
2012,Other Agencies,Commerce,"Other Facilities, Construction, Manufacturing and Testing",3326640.8400,86,79
2012,Other Agencies,Comptroller,C4ISR,234502.2800,2,1
2012,Other Agencies,Education,"Other Facilities, Construction, Manufacturing and Testing",5164.2800,1,1
2012,Other Agencies,EPA,"Other Facilities, Construction, Manufacturing and Testing",256346.4200,24,19
2012,Other Agencies,Justice,Land,26960.7500,4,4
2012,Other Agencies,Justice,Other R&D and Knowledge Based,886342.3700,7,6
2012,Other Agencies,Labor,Other R&D and Knowledge Based,346899.9800,6,4
2012,Other Agencies,NUCLEAR REGULATORY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",14200.0000,1,1
2012,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,"Other Facilities, Construction, Manufacturing and Testing",-97200.0000,1,1
2012,Other Agencies,Treasury,C4ISR,2143525.6400,33,27
2013,Defense,Air Force,Other Products,1005584.4223,10,8
2013,Defense,Army,Air,4319879.1819,57,34
2013,Defense,DLA,Air,21941793.2621,556,439
2013,Defense,Other DoD,"Weapons, Ammunition and Missiles",0.0000,1,1
2013,DHS,CBP,"Weapons, Ammunition and Missiles",18961.4400,1,1
2013,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",1153982.5500,20,18
2013,DHS,OPO,Other R&D and Knowledge Based,95700.0000,1,1
2013,DHS,TSA,C4ISR,1313430.7000,2,2
2013,Energy,Energy,C4ISR,1217338.8900,28,25
2013,Other Agencies,Agriculture,Land,21581.9800,4,3
2013,Other Agencies,Agriculture,Sea,10200.0000,1,1
2013,Other Agencies,Commerce,C4ISR,1848718.2500,53,50
2013,Other Agencies,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,"Other Facilities, Construction, Manufacturing and Testing",0.0000,1,1
2013,Other Agencies,Education,C4ISR,99394.9200,4,4
2013,Other Agencies,EPA,C4ISR,401680.1600,19,18
2013,Other Agencies,EPA,Other Services,13444.4800,2,2
2013,Other Agencies,Interior,C4ISR,5240991.7300,159,133
2013,Other Agencies,Interior,Other Services,676194.8100,19,13
2013,Other Agencies,Justice,Other Products,222190.5500,26,24
2013,Defense,Air Force,C4ISR,9776382.4394,70,63
2013,Defense,Air Force,"Weapons, Ammunition and Missiles",75000.0000,1,1
2013,Defense,MDA,"Other Facilities, Construction, Manufacturing and Testing",-33141.1211,1,1
2013,Defense,Other DoD,Other Services,22572.3088,5,4
2013,DHS,COAST GUARD,Other Products,316587.0100,42,40
2013,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",0.0000,2,2
2013,DHS,OPO,C4ISR,14136.5200,3,3
2013,DHS,Other DHS,"Other Facilities, Construction, Manufacturing and Testing",-52180.4800,11,11
2013,Energy,Energy,Other Products,793.1300,3,2
2013,Energy,Energy,Other R&D and Knowledge Based,-11735.7500,1,1
2013,GSA,GSA,Land,533227.0000,1,3
2013,GSA,GSA,Sea,0.0000,NULL,1
2013,NASA,NASA,Other Products,313997.0000,10,5
2013,Other Agencies,Agriculture,C4ISR,3285466.6000,81,74
2013,Other Agencies,Agriculture,Other Services,194661.6200,7,9
2013,Other Agencies,Archives,Other Products,14112.0000,1,1
2013,Other Agencies,Comptroller,Other R&D and Knowledge Based,94102.4900,NULL,1
2013,Other Agencies,Interior,Other Products,322602.1200,24,19
2013,Other Agencies,Interior,Other R&D and Knowledge Based,941005.9900,83,72
2013,Other Agencies,Justice,C4ISR,1655881.8600,71,63
2013,Other Agencies,Justice,"Other Facilities, Construction, Manufacturing and Testing",8112538.2300,323,322
2013,Other Agencies,Justice,Other Services,8142212.1400,6,1
2013,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,12000.0000,1,1
2013,Other Agencies,Transportation,"Other Facilities, Construction, Manufacturing and Testing",1790722.3900,8,5
2013,Other Agencies,Treasury,Land,12540.1200,2,2
2013,Other Agencies,Treasury,Other R&D and Knowledge Based,806586.7900,3,3
2013,Other Agencies,VA,Land,8496.0000,1,1
2013,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",7139332.5500,290,237
2013,State and IAP,State,Other Services,706281.8600,69,55
2014,Defense,Air Force,"Weapons, Ammunition and Missiles",74895.0000,1,1
2014,Defense,Army,Other Services,93965.3000,6,5
2014,Defense,Navy,Land,-327926.4600,36,25
2014,Defense,Navy,Sea,43177349.9100,145,106
2014,DHS,COAST GUARD,Other R&D and Knowledge Based,116522.2600,5,4
2014,DHS,ICE,"Other Facilities, Construction, Manufacturing and Testing",0.0000,1,1
2014,DHS,OPO,"Weapons, Ammunition and Missiles",0.0000,1,1
2014,DHS,Other DHS,"Weapons, Ammunition and Missiles",116671.2000,4,2
2014,Energy,Energy,Other R&D and Knowledge Based,2370224.0000,3,3
2014,GSA,GSA,Other Products,420410.6000,6,13
2014,NASA,NASA,Land,69989.3400,2,2
2014,Other Agencies,Agriculture,C4ISR,3826253.2700,117,105
2014,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",4570240.6000,153,131
2014,Other Agencies,All other Customers,C4ISR,2448188.2700,8,8
2014,Other Agencies,Education,Other R&D and Knowledge Based,-1307810.5000,3,2
2014,Other Agencies,HUD,NULL,-3289.3500,1,1
2014,Other Agencies,Interior,Land,497518.5700,28,24
2012,Other Agencies,Justice,Air,394311.6400,NULL,2
2012,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,12000.0000,1,1
2012,Other Agencies,NUCLEAR REGULATORY COMMISSION,Other Products,5639.0000,1,1
2012,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,Other R&D and Knowledge Based,134838.1500,9,7
2012,Other Agencies,SMITHSONIAN INSTITUTION,Other Products,13600.0000,2,2
2012,Other Agencies,Transportation,Air,796729.8500,1,1
2012,State and IAP,MILLENNIUM CHALLENGE CORPORATION,Other R&D and Knowledge Based,-300.0000,1,1
2012,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",9818427.8300,358,295
2012,State and IAP,State,"Weapons, Ammunition and Missiles",18320.0000,1,1
2013,Defense,Air Force,Space,0.0000,1,1
2013,Defense,Army,"Other Facilities, Construction, Manufacturing and Testing",16850717.0946,336,134
2013,Defense,Army,Other R&D and Knowledge Based,29289890.4469,89,47
2013,Defense,Army,Other Services,110278.2402,8,7
2013,Defense,DLA,"Other Facilities, Construction, Manufacturing and Testing",12692549.7930,122,106
2013,Defense,DLA,Other R&D and Knowledge Based,6334.0000,1,1
2013,Defense,Navy,C4ISR,105908062.7624,363,264
2013,Defense,Navy,Land,-5701359.4540,53,25
2013,DHS,COAST GUARD,C4ISR,3165968.0400,25,24
2013,DHS,COAST GUARD,Land,211057.8100,6,7
2013,DHS,COAST GUARD,Sea,4871999.4900,60,45
2013,DHS,Other DHS,Other Products,14307.4500,1,1
2013,GSA,GSA,Other Products,867407.4000,14,22
2013,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",48692.8000,3,3
2013,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,14160.2500,5,4
2013,Other Agencies,Commerce,Other Products,26916.4200,6,5
2013,Other Agencies,Commerce,Other R&D and Knowledge Based,141551.3700,37,32
2013,Other Agencies,Commerce,Sea,395073.9200,18,17
2013,Other Agencies,EPA,Other R&D and Knowledge Based,618296.2200,33,28
2013,Other Agencies,Interior,Air,3819785.3200,14,4
2013,Other Agencies,Labor,Other R&D and Knowledge Based,-112359.2500,4,4
2013,Other Agencies,NATIONAL SCIENCE FOUNDATION,"Other Facilities, Construction, Manufacturing and Testing",15071.7500,1,1
2013,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,5564.7200,1,1
2013,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,306048.2800,12,12
2013,Other Agencies,Transportation,Other R&D and Knowledge Based,3385181.5300,9,10
2013,Other Agencies,Transportation,Sea,58275.1400,4,3
2013,State and IAP,State,Air,9864.7200,4,4
2013,State and IAP,USAID,C4ISR,26454.0000,2,2
2014,Defense,Navy,"Weapons, Ammunition and Missiles",1721257.8500,14,15
2014,Defense,Other DoD,C4ISR,427509.8500,52,50
2014,DHS,CBP,C4ISR,2120776.8300,19,16
2014,DHS,COAST GUARD,Air,1640478.8000,34,21
2014,DHS,ICE,Other Products,0.0000,2,2
2014,GSA,GSA,Other R&D and Knowledge Based,6599.4600,3,2
2014,GSA,GSA,Sea,0.0000,0,2
2014,NASA,NASA,Other R&D and Knowledge Based,374793.8900,14,11
2013,Defense,Army,C4ISR,38752876.6060,263,176
2013,Defense,Army,Land,87637610.0106,107,52
2013,Defense,DLA,C4ISR,23656756.2283,274,256
2013,Defense,DLA,Land,24286012.7787,655,592
2013,Defense,MilitaryHealth,C4ISR,4799.0000,1,4
2013,Defense,Navy,"Other Facilities, Construction, Manufacturing and Testing",3500915.5663,152,125
2013,Defense,Navy,Other Services,29803.0000,6,6
2013,Defense,Other DoD,C4ISR,886352.1500,51,47
2013,Defense,Other DoD,Land,0.0000,1,1
2013,DHS,CBP,C4ISR,3134464.1500,12,9
2013,DHS,COAST GUARD,Air,2333423.3200,47,32
2013,DHS,FEMA,"Other Facilities, Construction, Manufacturing and Testing",13950.0000,2,1
2013,DHS,ICE,C4ISR,287724.6500,16,15
2013,DHS,Other DHS,Other Services,7385.3000,1,1
2013,GSA,GSA,Other R&D and Knowledge Based,16014.0000,4,5
2013,GSA,GSA,"Weapons, Ammunition and Missiles",0.0000,2,2
2013,HHS,HHS,"Other Facilities, Construction, Manufacturing and Testing",1395320.3300,85,81
2013,NASA,NASA,"Other Facilities, Construction, Manufacturing and Testing",712454.6300,39,32
2013,Other Agencies,Agriculture,Other Products,1060138.0700,16,16
2013,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other R&D and Knowledge Based,94613.0300,35,28
2013,Other Agencies,Commerce,NULL,-1745.0000,2,2
2013,Other Agencies,Commerce,Other Services,674165.3800,7,4
2013,Other Agencies,NUCLEAR REGULATORY COMMISSION,C4ISR,-184117.2000,1,2
2013,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",1200545.6000,9,7
2013,Other Agencies,SMITHSONIAN INSTITUTION,Other Products,20162.0000,2,1
2013,Other Agencies,VA,Other R&D and Knowledge Based,72681.2800,11,5
2013,State and IAP,State,"Weapons, Ammunition and Missiles",86505.0000,2,2
2013,State and IAP,USAID,"Other Facilities, Construction, Manufacturing and Testing",12398.6800,2,2
2014,Defense,Air Force,Air,60119201.4200,100,77
2014,Defense,Army,"Weapons, Ammunition and Missiles",33793138.1300,74,46
2014,Defense,DLA,"Weapons, Ammunition and Missiles",610250.7700,31,29
2014,Defense,Other DoD,"Other Facilities, Construction, Manufacturing and Testing",912670.6400,22,22
2014,DHS,CBP,Air,44300.0000,2,2
2014,DHS,COAST GUARD,C4ISR,915581.6000,24,19
2014,DHS,COAST GUARD,Land,75884.1900,5,5
2014,DHS,FEMA,C4ISR,29434.1200,4,3
2014,DHS,OPO,Sea,0.0000,1,1
2014,NASA,NASA,Air,168693.5000,3,1
2014,NASA,NASA,C4ISR,78679.2800,40,34
2014,NASA,NASA,Space,4583048.7300,14,4
2014,Other Agencies,Agriculture,Other R&D and Knowledge Based,6841919.5100,34,27
2014,Other Agencies,Commerce,Other Products,14229.1700,5,5
2014,Other Agencies,Commerce,Sea,616213.4400,15,13
2014,Other Agencies,Justice,C4ISR,25031005.7900,90,63
2014,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",27748.4000,3,3
2014,Other Agencies,SMITHSONIAN INSTITUTION,Other R&D and Knowledge Based,146089.8300,7,6
2014,Other Agencies,Transportation,Other Products,25200.0000,1,1
2010,Other Agencies,NATIONAL SCIENCE FOUNDATION,Other R&D and Knowledge Based,59656.0000,1,1
2010,Other Agencies,NATIONAL TRANSPORTATION SAFETY BOARD,C4ISR,21000.0000,1,1
2010,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,43387.0000,2,2
2010,Other Agencies,Transportation,Air,57115.6000,1,1
2010,State and IAP,State,"Other Facilities, Construction, Manufacturing and Testing",5876643.8000,250,221
2011,Defense,Air Force,Other Products,278548.3000,10,8
2011,Defense,Air Force,Space,18000.0000,2,1
2011,Defense,Army,Other Services,124277.9000,22,15
2011,Defense,Navy,C4ISR,63360193.3200,342,267
2011,Defense,Navy,Land,737228060.7200,91,27
2011,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",2696756.6200,40,34
2011,DHS,COAST GUARD,Sea,844935.8500,48,41
2011,DHS,TSA,Other Products,54.0000,7,6
2011,GSA,GSA,Other Products,453119.2800,32,35
2011,HHS,HHS,C4ISR,993585.2800,45,43
2011,Other Agencies,Agriculture,"Other Facilities, Construction, Manufacturing and Testing",2676235.8400,117,108
2011,Other Agencies,Agriculture,"Weapons, Ammunition and Missiles",39615.1000,4,4
2011,Other Agencies,All other Customers,C4ISR,375541.2500,10,9
2011,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,15000.0000,8,4
2011,Other Agencies,Commerce,Other R&D and Knowledge Based,802959.4200,39,38
2011,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,C4ISR,42580.0000,2,2
2011,Other Agencies,Education,C4ISR,58421.9300,2,2
2011,Other Agencies,EPA,Other R&D and Knowledge Based,490346.0500,29,28
2011,Other Agencies,EPA,Other Services,3366.0200,2,2
2011,Other Agencies,SECURITIES AND EXCHANGE COMMISSION,C4ISR,8121.6000,1,1
2011,Other Agencies,SMITHSONIAN INSTITUTION,Other Services,54101.3500,6,3
2011,Other Agencies,Transportation,Other R&D and Knowledge Based,991842.6400,7,7
2011,Other Agencies,VA,Other Products,7440313.3800,13646,168
2012,Defense,Air Force,"Other Facilities, Construction, Manufacturing and Testing",1770053.4200,68,48
2012,Defense,Air Force,Other R&D and Knowledge Based,1514373.3000,11,7
2012,Defense,Air Force,Sea,10576.0000,1,1
2012,Defense,Army,C4ISR,56317797.3400,286,212
2012,Defense,Army,Land,212062276.1500,160,76
2012,Defense,DLA,C4ISR,14318569.4300,260,233
2012,Defense,DLA,Land,32050400.6400,1026,896
2012,Defense,MilitaryHealth,C4ISR,259879.8000,29,23
2012,Defense,Other DoD,C4ISR,1512511.2800,59,44
2012,Defense,Other DoD,Land,30722.0000,2,2
2012,Defense,Other DoD,Other Products,112242.1500,7,6
2012,Defense,Other DoD,Sea,19256.8700,4,3
2012,DHS,COAST GUARD,Air,2640728.9300,38,26
2012,GSA,GSA,Other R&D and Knowledge Based,146804.0000,4,6
2012,GSA,GSA,Other Services,0.0000,NULL,1
2012,HHS,HHS,NULL,0.0000,NULL,1
2012,Other Agencies,NULL,Other Products,17555710.3500,9829,12
2012,Other Agencies,Agriculture,Air,21102.0000,2,2
2012,Other Agencies,Agriculture,Other Products,320154.1200,9,10
2012,Other Agencies,Commerce,Other Services,304624.5000,7,6
2013,Other Agencies,NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,Other R&D and Knowledge Based,3575.0000,1,1
2013,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,"Other Facilities, Construction, Manufacturing and Testing",0.0000,1,1
2013,Other Agencies,Treasury,C4ISR,1524446.8800,39,27
2013,Other Agencies,Treasury,"Other Facilities, Construction, Manufacturing and Testing",1408990.1700,47,38
2013,State and IAP,MILLENNIUM CHALLENGE CORPORATION,"Other Facilities, Construction, Manufacturing and Testing",2655157.4900,12,9
2014,Defense,Air Force,Other Products,2415260.4000,14,7
2014,Defense,Army,Air,6884999.5200,46,30
2014,Defense,DLA,Air,27398034.7300,490,385
2014,Defense,DLA,Other Products,70253531.9200,686,633
2014,Defense,Other DoD,"Weapons, Ammunition and Missiles",-87987.3700,2,2
2014,DHS,COAST GUARD,"Other Facilities, Construction, Manufacturing and Testing",1031954.5600,18,12
2014,DHS,COAST GUARD,Sea,1580748.1900,45,38
2014,DHS,OPO,Other R&D and Knowledge Based,60900.0000,1,1
2014,DHS,Other DHS,Other R&D and Knowledge Based,0.0000,1,1
2014,DHS,TSA,C4ISR,40041.6500,5,2
2014,Energy,Energy,C4ISR,491280.3000,29,23
2014,Energy,Energy,"Other Facilities, Construction, Manufacturing and Testing",44228.0200,6,5
2014,GSA,GSA,C4ISR,21540.0000,5,34
2014,GSA,GSA,Other Services,5560.0000,2,3
2014,Other Agencies,Agriculture,Land,14135.0000,2,2
2014,Other Agencies,BROADCASTING BOARD OF GOVERNORS,C4ISR,14905.0000,3,2
2014,Other Agencies,Commerce,Air,220913.7400,4,3
2014,Other Agencies,Commerce,C4ISR,2082614.2800,64,57
2014,Other Agencies,CONSUMER PRODUCT SAFETY COMMISSION,"Other Facilities, Construction, Manufacturing and Testing",40918.8000,3,1
2014,Other Agencies,Education,C4ISR,56607.5500,1,1
2014,Other Agencies,EPA,C4ISR,156350.1200,13,10
2014,Other Agencies,EPA,Other Services,19880.0000,2,2
2014,Other Agencies,Interior,C4ISR,9337492.5300,234,188
2014,Other Agencies,Interior,"Other Facilities, Construction, Manufacturing and Testing",4187831.1700,123,98
2014,Other Agencies,Interior,Other Services,425998.5300,20,16
2014,Other Agencies,Justice,Other Products,218895.6000,5,6
2014,Other Agencies,Labor,C4ISR,99301.4400,5,5
2014,Other Agencies,NATIONAL GALLERY OF ART,C4ISR,12450.0000,2,2
2014,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,188856.9800,3,3
2014,Other Agencies,Transportation,Land,746406.0000,2,2
2014,Other Agencies,VA,C4ISR,414327.6500,23,23
2014,Other Agencies,VA,Other Services,17600.0000,1,1
2014,State and IAP,MILLENNIUM CHALLENGE CORPORATION,C4ISR,0.0000,1,1
2014,State and IAP,State,Land,99716.7600,6,6
2015,Defense,Air Force,Other R&D and Knowledge Based,7129943.0000,12,4
2015,Defense,Army,Land,52483429.0800,116,34
2015,Defense,DLA,NULL,1646863.2500,23,15
2015,Defense,DLA,Land,20734152.4600,794,727
2015,Defense,MDA,Land,115850.0000,1,1
2015,Defense,Navy,C4ISR,59720134.7100,299,218
2015,Defense,Navy,Other Services,365379.4300,14,10
2013,Other Agencies,NATIONAL GALLERY OF ART,C4ISR,15831.3000,1,1
2013,Other Agencies,OFFICE OF PERSONNEL MANAGEMENT,C4ISR,240017.0000,4,4
2013,Other Agencies,SMITHSONIAN INSTITUTION,"Other Facilities, Construction, Manufacturing and Testing",60900.0000,2,1
2013,Other Agencies,Transportation,Land,-3780.1200,1,1
2013,Other Agencies,VA,C4ISR,326921.5000,20,17
2013,Other Agencies,VA,Other Services,10908.8000,2,2
2013,State and IAP,State,Other Products,692820.0700,64,48
2014,Defense,Air Force,Land,14398.5600,2,2
2014,Defense,Air Force,Other R&D and Knowledge Based,3424091.8100,9,5
2014,Defense,Army,Land,187936219.8700,131,48
2014,Defense,Army,Sea,185381.0000,4,4
